medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Bronze Medal,3,2024-08-08,Alizadeh KIMIA,BUL,W,Taekwondo,Women -57kg,HATH,/en/paris-2024/results/taekwondo/women--57kg/repf000200--,2493835
Gold Medal,1,2024-08-08,Rizki JUNIANSYAH,INA,M,Weightlifting,Men's 73kg,ATH,/en/paris-2024/results/weightlifting/men-s-73kg/fnl-000100--,1941786
Silver Medal,2,2024-08-08,Weeraphon WICHUMA,THA,M,Weightlifting,Men's 73kg,ATH,/en/paris-2024/results/weightlifting/men-s-73kg/fnl-000100--,1898067
Bronze Medal,3,2024-08-08,Bozhidar Dimitrov ANDREEV,BUL,M,Weightlifting,Men's 73kg,ATH,/en/paris-2024/results/weightlifting/men-s-73kg/fnl-000100--,1902787
Gold Medal,1,2024-08-08,LUO Shifang,CHN,W,Weightlifting,Women's 59kg,ATH,/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--,1918379
Silver Medal,2,2024-08-08,Maude CHARRON,CAN,W,Weightlifting,Women's 59kg,ATH,/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--,1965815
Bronze Medal,3,2024-08-08,KUO Hsing-Chun,TPE,W,Weightlifting,Women's 59kg,ATH,/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--,1569563
Gold Medal,1,2024-08-08,Saeid ESMAEILI LEIVESI,IRI,M,Wrestling,Men's Greco-Roman 67kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/fnl-000100--,1544928
Silver Medal,2,2024-08-08,Parviz NASIBOV,UKR,M,Wrestling,Men's Greco-Roman 67kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/fnl-000100--,1550119
Bronze Medal,3,2024-08-08,Hasrat JAFAROV,AZE,M,Wrestling,Men's Greco-Roman 67kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/repf000100--,1981760
Bronze Medal,3,2024-08-08,Luis Alberto ORTA SANCHEZ,CUB,M,Wrestling,Men's Greco-Roman 67kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/repf000200--,1571498
Gold Medal,1,2024-08-08,Semen Sergeevich NOVIKOV,BUL,M,Wrestling,Men's Greco-Roman 87kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/fnl-000100--,1559471
Silver Medal,2,2024-08-08,Alireza MOHMADIPIANI,IRI,M,Wrestling,Men's Greco-Roman 87kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/fnl-000100--,1544880
Bronze Medal,3,2024-08-08,Zhan BELENIUK,UKR,M,Wrestling,Men's Greco-Roman 87kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/repf000100--,1550116
Bronze Medal,3,2024-08-08,Turpal Ali BISULTANOV,DEN,M,Wrestling,Men's Greco-Roman 87kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/repf000200--,1879518
Gold Medal,1,2024-08-08,FUJINAMI Akari,JPN,W,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/fnl-000100--,1939711
Silver Medal,2,2024-08-08,Lucia Yamileth YEPEZ GUZMAN,ECU,W,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/fnl-000100--,1960228
Bronze Medal,3,2024-08-08,CHOE Hyo Gyong,PRK,W,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/repf000100--,1980149
Bronze Medal,3,2024-08-08,PANG Qianyu,CHN,W,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/repf000200--,1920006
Gold Medal,1,2024-08-09,Canada,CAN,M,Athletics,Men's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-100m-relay/fnl-000100--,ATHM4X100M--CAN01
Silver Medal,2,2024-08-09,South Africa,RSA,M,Athletics,Men's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-100m-relay/fnl-000100--,ATHM4X100M--RSA01
Bronze Medal,3,2024-08-09,Great Britain,GBR,M,Athletics,Men's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-100m-relay/fnl-000100--,ATHM4X100M--GBR01
Gold Medal,1,2024-08-09,Rai BENJAMIN,USA,M,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,1960684
Silver Medal,2,2024-08-09,Karsten WARHOLM,NOR,M,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,1894095
Bronze Medal,3,2024-08-09,Alison dos SANTOS,BRA,M,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,1951913
Gold Medal,1,2024-08-09,Jordan Alejandro DIAZ FORTUN,ESP,M,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,1904099
Silver Medal,2,2024-08-09,Pedro PICHARDO,POR,M,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,1938792
Bronze Medal,3,2024-08-09,Andy DIAZ HERNANDEZ,ITA,M,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,1552375
Gold Medal,1,2024-08-09,Beatrice CHEBET,KEN,W,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,1910560
Silver Medal,2,2024-08-09,Nadia BATTOCLETTI,ITA,W,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,1552305
Bronze Medal,3,2024-08-09,Sifan HASSAN,NED,W,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,1972105
Gold Medal,1,2024-08-09,United States,USA,W,Athletics,Women's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--,ATHW4X100M--USA01
Silver Medal,2,2024-08-09,Great Britain,GBR,W,Athletics,Women's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--,ATHW4X100M--GBR01
Bronze Medal,3,2024-08-09,Germany,GER,W,Athletics,Women's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--,ATHW4X100M--GER01
Gold Medal,1,2024-08-09,Marileidy PAULINO,DOM,W,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1899666
Silver Medal,2,2024-08-09,Salwa Eid NASER,BRN,W,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1915338
Bronze Medal,3,2024-08-09,Natalia KACZMAREK,POL,W,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1573098
Gold Medal,1,2024-08-09,Yemisi OGUNLEYE,GER,W,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1920183
Silver Medal,2,2024-08-09,Maddison-Lee WESCHE,NZL,W,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1926695
Bronze Medal,3,2024-08-09,SONG Jiayuan,CHN,W,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1919065
Gold Medal,1,2024-08-09,ANA PATRICIA/DUDA,BRA,W,Beach Volleyball,Women,HTEAM,/en/paris-2024/results/beach-volleyball/women/fnl-000100--,VBVWTEAM2---BRA01
Silver Medal,2,2024-08-09,MELISSA/BRANDIE,CAN,W,Beach Volleyball,Women,HTEAM,/en/paris-2024/results/beach-volleyball/women/fnl-000100--,VBVWTEAM2---CAN01
Bronze Medal,3,2024-08-09,HUBERLI/BRUNNER,SUI,W,Beach Volleyball,Women,HTEAM,/en/paris-2024/results/beach-volleyball/women/fnl-000200--,VBVWTEAM2---SUI01
Gold Medal,1,2024-08-09,Asadkhuja MUYDINKHUJAEV,UZB,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,1556797
Silver Medal,2,2024-08-09,Marco Alonso VERDE ALVAREZ,MEX,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,1535187
Gold Medal,1,2024-08-09,Lazizbek MULLOJONOV,UZB,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--,1556860
Silver Medal,2,2024-08-09,Loren Berto ALFONSO DOMINGUEZ,AZE,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--,1972343
Gold Medal,1,2024-08-09,WU Yu,CHN,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--,1926833
Silver Medal,2,2024-08-09,Buse Naz CAKIROGLU,TUR,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--,1568182
Gold Medal,1,2024-08-09,Imane KHELIF,ALG,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--,1540353
Silver Medal,2,2024-08-09,YANG Liu,CHN,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--,1926827
Gold Medal,1,2024-08-09,AMI,JPN,W,Breaking,B-Girls,HATH,/en/paris-2024/results/breaking/b-girls/fnl-000100--,1953038
Silver Medal,2,2024-08-09,NICKA,LTU,W,Breaking,B-Girls,HATH,/en/paris-2024/results/breaking/b-girls/fnl-000100--,1924559
Bronze Medal,3,2024-08-09,671,CHN,W,Breaking,B-Girls,HATH,/en/paris-2024/results/breaking/b-girls/fnl-000200--,1909907
Gold Medal,1,2024-08-09,Martin FUKSA,CZE,M,Canoe Sprint,Men's Canoe Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------,1878716
Silver Medal,2,2024-08-09,Isaquias QUEIROZ,BRA,M,Canoe Sprint,Men's Canoe Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------,1952595
Bronze Medal,3,2024-08-09,Serghei TARNOVSCHI,MDA,M,Canoe Sprint,Men's Canoe Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------,1550295
Gold Medal,1,2024-08-09,SCHOPF/LEMKE,GER,M,Canoe Sprint,Men's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/men-s-kayak-double-500m/fnl---------,CSPMK2-500M-GER01
Silver Medal,2,2024-08-09,NADAS/TOTKA,HUN,M,Canoe Sprint,Men's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/men-s-kayak-double-500m/fnl---------,CSPMK2-500M-HUN01
Bronze Medal,3,2024-08-09,van der WE/GREEN,AUS,M,Canoe Sprint,Men's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/men-s-kayak-double-500m/fnl---------,CSPMK2-500M-AUS01
Gold Medal,1,2024-08-09,XU/SUN,CHN,W,Canoe Sprint,Women's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-canoe-double-500m/fnl---------,CSPWC2-500M-CHN01
Silver Medal,2,2024-08-09,LUZAN/RYBACHOK,UKR,W,Canoe Sprint,Women's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-canoe-double-500m/fnl---------,CSPWC2-500M-UKR01
Bronze Medal,3,2024-08-09,MACKENZIE/VINCENT,CAN,W,Canoe Sprint,Women's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-canoe-double-500m/fnl---------,CSPWC2-500M-CAN01
Gold Medal,1,2024-08-09,CARRINGTON/HOSKIN,NZL,W,Canoe Sprint,Women's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------,CSPWK2-500M-NZL01
Silver Medal,2,2024-08-09,CSIPES/GAZSO,HUN,W,Canoe Sprint,Women's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------,CSPWK2-500M-HUN01
Bronze Medal,3,2024-08-09,PASZEK/HAKE,GER,W,Canoe Sprint,Women's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------,CSPWK2-500M-GER01
Bronze Medal,3,2024-08-09,PUPP/FOJT,HUN,W,Canoe Sprint,Women's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------,CSPWK2-500M-HUN02
Gold Medal,1,2024-08-09,Harrie LAVREYSEN,NED,M,Cycling Track,Men's Sprint,ATH,/en/paris-2024/results/cycling-track/men-s-sprint/fnl---------,1969182
Silver Medal,2,2024-08-09,Matthew RICHARDSON,AUS,M,Cycling Track,Men's Sprint,ATH,/en/paris-2024/results/cycling-track/men-s-sprint/fnl---------,1940263
Bronze Medal,3,2024-08-09,Jack CARLIN,GBR,M,Cycling Track,Men's Sprint,ATH,/en/paris-2024/results/cycling-track/men-s-sprint/fnl---------,1912515
Gold Medal,1,2024-08-09,Italy,ITA,W,Cycling Track,Women's Madison,TEAM,/en/paris-2024/results/cycling-track/women-s-madison/fnl-000100--,CTRWMADISON-ITA01
Silver Medal,2,2024-08-09,Great Britain,GBR,W,Cycling Track,Women's Madison,TEAM,/en/paris-2024/results/cycling-track/women-s-madison/fnl-000100--,CTRWMADISON-GBR01
Bronze Medal,3,2024-08-09,Netherlands,NED,W,Cycling Track,Women's Madison,TEAM,/en/paris-2024/results/cycling-track/women-s-madison/fnl-000100--,CTRWMADISON-NED01
Gold Medal,1,2024-08-09,CHEN Yiwen,CHN,W,Diving,Women's 3m Springboard,ATH,/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--,1901538
Silver Medal,2,2024-08-09,Maddison KEENEY,AUS,W,Diving,Women's 3m Springboard,ATH,/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--,1940414
Bronze Medal,3,2024-08-09,CHANG Yani,CHN,W,Diving,Women's 3m Springboard,ATH,/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--,1901539
Gold Medal,1,2024-08-09,Spain,ESP,M,Football,Men,HTEAM,/en/paris-2024/results/football/men/fnl-000100--,FBLMTEAM11--ESP01
Silver Medal,2,2024-08-09,France,FRA,M,Football,Men,HTEAM,/en/paris-2024/results/football/men/fnl-000100--,FBLMTEAM11--FRA01
Bronze Medal,3,2024-08-09,Germany,GER,W,Football,Women,HTEAM,/en/paris-2024/results/football/women/fnl-000200--,FBLWTEAM11--GER01
Gold Medal,1,2024-08-09,Netherlands,NED,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,HOCWTEAM11--NED01
Silver Medal,2,2024-08-09,China,CHN,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,HOCWTEAM11--CHN01
Bronze Medal,3,2024-08-09,Argentina,ARG,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000200--,HOCWTEAM11--ARG01
Gold Medal,1,2024-08-09,Kristof RASOVSZKY,HUN,M,Marathon Swimming,Men's 10km,ATH,/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--,1909030
Silver Medal,2,2024-08-09,Oliver KLEMET,GER,M,Marathon Swimming,Men's 10km,ATH,/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--,1907234
Bronze Medal,3,2024-08-09,David BETLEHEM,HUN,M,Marathon Swimming,Men's 10km,ATH,/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--,1902450
Gold Medal,1,2024-08-09,Valentin BONTUS,AUT,M,Sailing,Men's Kite,ATH,/en/paris-2024/results/sailing/men-s-kite/fnl-000300--,1566437
Silver Medal,2,2024-08-09,Toni VODISEK,SLO,M,Sailing,Men's Kite,ATH,/en/paris-2024/results/sailing/men-s-kite/fnl-000300--,1981549
Bronze Medal,3,2024-08-09,Maximilian MAEDER,SGP,M,Sailing,Men's Kite,ATH,/en/paris-2024/results/sailing/men-s-kite/fnl-000300--,1535852
Gold Medal,1,2024-08-09,Toby ROBERTS,GBR,M,Sport Climbing,Men's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--,1544218
Silver Medal,2,2024-08-09,ANRAKU Sorato,JPN,M,Sport Climbing,Men's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--,1892022
Bronze Medal,3,2024-08-09,Jakob SCHUBERT,AUT,M,Sport Climbing,Men's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--,1560677
Gold Medal,1,2024-08-09,China,CHN,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00010000,TTEMTEAM----CHN01
Silver Medal,2,2024-08-09,Sweden,SWE,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00010000,TTEMTEAM----SWE01
Bronze Medal,3,2024-08-09,France,FRA,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00020000,TTEMTEAM----FRA01
Gold Medal,1,2024-08-09,Firas KATOUSSI,TUN,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/fnl-000100--,1947737
Silver Medal,2,2024-08-09,Mehran BARKHORDARI,IRI,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/fnl-000100--,1536058
Bronze Medal,3,2024-08-09,Simone ALESSIO,ITA,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/repf000100--,1929685
Bronze Medal,3,2024-08-09,Edi HRNIC,DEN,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/repf000200--,1914832
Gold Medal,1,2024-08-09,Viviana MARTON,HUN,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/fnl-000100--,1572318
Silver Medal,2,2024-08-09,Aleksandra PERISIC,SRB,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/fnl-000100--,1956372
Bronze Medal,3,2024-08-09,Kristina TEACHOUT,USA,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/repf000100--,1930773
Bronze Medal,3,2024-08-09,Sarah CHAARI,BEL,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/repf000200--,1903284
Bronze Medal,3,2024-08-09,United States,USA,M,Volleyball,Men,HTEAM,/en/paris-2024/results/volleyball/men/fnl-000200--,VVOMTEAM6---USA01
Gold Medal,1,2024-08-09,Karlos May NASAR,BUL,M,Weightlifting,Men's 89kg,ATH,/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--,1903011
Silver Medal,2,2024-08-09,Yeison LOPEZ,COL,M,Weightlifting,Men's 89kg,ATH,/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--,1543506
Bronze Medal,3,2024-08-09,Antonino PIZZOLATO,ITA,M,Weightlifting,Men's 89kg,ATH,/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--,1568724
Gold Medal,1,2024-08-09,Olivia REEVES,USA,W,Weightlifting,Women's 71kg,ATH,/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--,1917154
Silver Medal,2,2024-08-09,Mari Leivis SANCHEZ,COL,W,Weightlifting,Women's 71kg,ATH,/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--,1543509
Bronze Medal,3,2024-08-09,Angie Paola PALACIOS DAJOMES,ECU,W,Weightlifting,Women's 71kg,ATH,/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--,1940300
Gold Medal,1,2024-08-09,HIGUCHI Rei,JPN,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/fnl-000100--,1939714
Silver Medal,2,2024-08-09,Spencer Richard LEE,USA,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/fnl-000100--,1955415
Bronze Medal,3,2024-08-09,Aman AMAN,IND,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/repf000100--,1931496
Bronze Medal,3,2024-08-09,Gulomjon ABDULLAEV,UZB,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/repf000200--,1562157
Gold Medal,1,2024-08-09,Magomed Eldarovitch RAMAZANOV,BUL,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/fnl-000100--,1556873
Silver Medal,2,2024-08-09,Hassan YAZDANICHARATI,IRI,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/fnl-000100--,1544803
Bronze Medal,3,2024-08-09,Aaron Marquel BROOKS,USA,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/repf000100--,1955300
Bronze Medal,3,2024-08-09,Dauren KURUGLIEV,GRE,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/repf000200--,1963800
Gold Medal,1,2024-08-09,SAKURAI Tsugumi,JPN,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--,1939710
Silver Medal,2,2024-08-09,Anastasia NICHITA,MDA,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--,1572203
Bronze Medal,3,2024-08-09,Helen Louise MAROULIS,USA,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/repf000100--,1955426
Bronze Medal,3,2024-08-09,HONG Kexin,CHN,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/repf000200--,1920010
Gold Medal,1,2024-08-10,China,CHN,W,Artistic Swimming,Duet,COUP,/en/paris-2024/results/artistic-swimming/duet/fnl-000100--,SWAWTEAM2---CHN01
Silver Medal,2,2024-08-10,Great Britain,GBR,W,Artistic Swimming,Duet,COUP,/en/paris-2024/results/artistic-swimming/duet/fnl-000100--,SWAWTEAM2---GBR01
Bronze Medal,3,2024-08-10,Netherlands,NED,W,Artistic Swimming,Duet,COUP,/en/paris-2024/results/artistic-swimming/duet/fnl-000100--,SWAWTEAM2---NED01
Gold Medal,1,2024-08-10,United States,USA,M,Athletics,Men's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-400m-relay/fnl-000100--,ATHM4X400M--USA01
Silver Medal,2,2024-08-10,Botswana,BOT,M,Athletics,Men's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-400m-relay/fnl-000100--,ATHM4X400M--BOT01
Bronze Medal,3,2024-08-10,Great Britain,GBR,M,Athletics,Men's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-400m-relay/fnl-000100--,ATHM4X400M--GBR01
Gold Medal,1,2024-08-10,Jakob INGEBRIGTSEN,NOR,M,Athletics,Men's 5000m,ATH,/en/paris-2024/results/athletics/men-s-5000m/fnl-000100--,1898250
Silver Medal,2,2024-08-10,Ronald KWEMOI,KEN,M,Athletics,Men's 5000m,ATH,/en/paris-2024/results/athletics/men-s-5000m/fnl-000100--,1963077
Bronze Medal,3,2024-08-10,Grant FISHER,USA,M,Athletics,Men's 5000m,ATH,/en/paris-2024/results/athletics/men-s-5000m/fnl-000100--,1960959
Gold Medal,1,2024-08-10,Emmanuel WANYONYI,KEN,M,Athletics,Men's 800m,ATH,/en/paris-2024/results/athletics/men-s-800m/fnl-000100--,1910412
Silver Medal,2,2024-08-10,Marco AROP,CAN,M,Athletics,Men's 800m,ATH,/en/paris-2024/results/athletics/men-s-800m/fnl-000100--,1974048
Bronze Medal,3,2024-08-10,Djamel SEDJATI,ALG,M,Athletics,Men's 800m,ATH,/en/paris-2024/results/athletics/men-s-800m/fnl-000100--,1963520
Gold Medal,1,2024-08-10,Hamish KERR,NZL,M,Athletics,Men's High Jump,ATH,/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--,1926713
Silver Medal,2,2024-08-10,Shelby McEWEN,USA,M,Athletics,Men's High Jump,ATH,/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--,1965306
Bronze Medal,3,2024-08-10,Mutaz Essa BARSHIM,QAT,M,Athletics,Men's High Jump,ATH,/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--,1566681
Gold Medal,1,2024-08-10,Tamirat TOLA,ETH,M,Athletics,Men's Marathon,ATH,/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--,1901284
Silver Medal,2,2024-08-10,Bashir ABDI,BEL,M,Athletics,Men's Marathon,ATH,/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--,1942753
Bronze Medal,3,2024-08-10,Benson KIPRUTO,KEN,M,Athletics,Men's Marathon,ATH,/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--,1910555
Gold Medal,1,2024-08-10,Masai RUSSELL,USA,W,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,1960169
Silver Medal,2,2024-08-10,Cyrena SAMBA-MAYELA,FRA,W,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,1911932
Bronze Medal,3,2024-08-10,Jasmine CAMACHO-QUINN,PUR,W,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,1537183
Gold Medal,1,2024-08-10,Faith KIPYEGON,KEN,W,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1910451
Silver Medal,2,2024-08-10,Jessica HULL,AUS,W,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1939795
Bronze Medal,3,2024-08-10,Georgia BELL,GBR,W,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1956840
Gold Medal,1,2024-08-10,United States,USA,W,Athletics,Women's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--,ATHW4X400M--USA01
Silver Medal,2,2024-08-10,Netherlands,NED,W,Athletics,Women's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--,ATHW4X400M--NED01
Bronze Medal,3,2024-08-10,Great Britain,GBR,W,Athletics,Women's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--,ATHW4X400M--GBR01
Gold Medal,1,2024-08-10,KITAGUCHI Haruka,JPN,W,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1919914
Silver Medal,2,2024-08-10,Jo-Ane van DYK,RSA,W,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1981085
